p_value,facility_names,total_distance,lat,lon
18,세경3차,2850.252305,37.88591146,127.7449192
18,한성 한진,2850.252305,37.85883842,127.7220109
18,석사부영,2850.252305,37.86906165,127.7550316
18,퇴계주공1단지,2850.252305,37.85938654,127.7366718
18,칠전대우2차,2850.252305,37.84061322,127.7113229
18,"거두부영1,2단지(분양)",2850.252305,37.85503981,127.7535718
18,한일유엔아이,2850.252305,37.87993261,127.7631796
18,롯데인벤스우두파크,2850.252305,37.90052658,127.7314281
18,퇴계주공10차뜨란채,2850.252305,37.84900177,127.7451177
18,근화신성미소지움,2850.252305,37.87187295,127.7189306
18,사농현대,2850.252305,37.91242932,127.7237814
18,두산위브,2850.252305,37.88845623,127.7557302
18,이편한세상,2850.252305,37.88541523,127.7254304
18,장학해온채아파트,2850.252305,37.89761495,127.7523436
18,현진에버빌3차,2850.252305,37.87444532,127.7306184
18,일성트루엘더퍼스트,2850.252305,37.87712147,127.7458565
18,파크자이,2850.252305,37.86649064,127.7077562
18,우두lh2단지,2850.252305,37.91074641,127.7352604
19,후평주공4차,2830.321824,37.87615389,127.7557984
19,세경3차,2830.321824,37.88591146,127.7449192
19,한성 한진,2830.321824,37.85883842,127.7220109
19,그랜드,2830.321824,37.8671591,127.7568638
19,퇴계주공1단지,2830.321824,37.85938654,127.7366718
19,칠전대우2차,2830.321824,37.84061322,127.7113229
19,"거두부영1,2단지(분양)",2830.321824,37.85503981,127.7535718
19,한일유엔아이,2830.321824,37.87993261,127.7631796
19,롯데인벤스우두파크,2830.321824,37.90052658,127.7314281
19,퇴계주공10차뜨란채,2830.321824,37.84900177,127.7451177
19,근화신성미소지움,2830.321824,37.87187295,127.7189306
19,사농현대,2830.321824,37.91242932,127.7237814
19,두산위브,2830.321824,37.88845623,127.7557302
19,이편한세상,2830.321824,37.88541523,127.7254304
19,장학해온채아파트,2830.321824,37.89761495,127.7523436
19,현진에버빌3차,2830.321824,37.87444532,127.7306184
19,일성트루엘더퍼스트,2830.321824,37.87712147,127.7458565
19,파크자이,2830.321824,37.86649064,127.7077562
